Wed Apr 13 2022 08:28:56 GMT+0300 (East Africa Time) 	15425efe-e04c-43a7-b198-a74a8fc126e0 	GET	undefined	/subdir/index.html
Wed Apr 13 2022 08:32:56 GMT+0300 (East Africa Time) 	286d7e97-0d22-4e49-812b-1d9f87016c08 	GET	undefined	/subdir/dave
Wed Apr 13 2022 08:32:56 GMT+0300 (East Africa Time) 	b3478fb3-0c43-49bc-8040-9c62f3ce6a95 	GET	undefined	/css/style.css
Wed Apr 13 2022 08:32:56 GMT+0300 (East Africa Time) 	86df41e9-2085-4400-8d0a-be4752babb55 	GET	undefined	/subdir/
Wed Apr 13 2022 08:34:22 GMT+0300 (East Africa Time) 	92fab38a-b0f5-4127-a805-81fe6e988bec 	GET	undefined	/subdir/
Wed Apr 13 2022 08:35:49 GMT+0300 (East Africa Time) 	9001bbf6-9650-4a3c-a107-8fedcfbd781a 	GET	undefined	/subdir/
Wed Apr 13 2022 08:35:49 GMT+0300 (East Africa Time) 	c67efc73-dc3c-4beb-a35c-5b3b352ec27a 	GET	undefined	/favicon.ico
Wed Apr 13 2022 08:37:15 GMT+0300 (East Africa Time) 	2409aa91-55e5-4058-b093-14674642facd 	GET	undefined	/subdir/
Wed Apr 13 2022 08:37:15 GMT+0300 (East Africa Time) 	1d4563ed-798c-4c85-a70b-5d1aa7168e95 	GET	undefined	/favicon.ico
Wed Apr 13 2022 08:37:15 GMT+0300 (East Africa Time) 	5c1aba56-9553-40ef-a3a2-fed7775eddb7 	GET	undefined	/subdir/
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	2651c0ca-0919-4349-97e5-2d057a555ad8 	GET	undefined	/subdir/
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	43d7c896-0cac-4fe4-b9c5-aad65d50a29e 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	d7af507e-8551-4e87-8e32-dc24f21c9ed0 	GET	undefined	/subdir/test.html
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	a7fe883c-d388-4287-bdcb-c8892ecafff0 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	a575226e-b2c4-4a97-b391-e0ccbaefd82f 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	d979ea21-67a8-4cd1-9673-0b5ac3f4aedc 	GET	undefined	/subdir/index.html
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	c64525dd-da31-4ac7-bc32-b9afd7147127 	GET	undefined	/subdir/test.html
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	0fe3eb0b-a273-448c-8cee-76e48b62a003 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	17063a16-a333-4aa9-8f6c-b369322d96a0 	GET	undefined	/subdir/
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	af0aa276-cfa5-4b57-a597-71269652c19b 	GET	undefined	/subdir/test.html
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	680cbcbd-921f-49cf-8a6f-360dcb013325 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	757f7658-6185-403a-9f9b-06255a761f49 	GET	undefined	/subdir/da
Wed Apr 13 2022 09:17:11 GMT+0300 (East Africa Time) 	5694befe-9fb2-47d9-87b7-33badbfdfd94 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:26:19 GMT+0300 (East Africa Time) 	ad4c9b31-5451-483b-8b07-5fbf4113a11b 	GET	undefined	/subdir/test.html
Wed Apr 13 2022 09:26:19 GMT+0300 (East Africa Time) 	bafb07e2-0796-4617-8996-50204ac02e09 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:27:06 GMT+0300 (East Africa Time) 	aa6b0014-fc2b-4060-a1ef-7edb21f0c4a1 	GET	undefined	/subdir/test.html
Wed Apr 13 2022 09:27:06 GMT+0300 (East Africa Time) 	b86c9464-0a7d-4abc-9d41-99ee95cbcf39 	GET	undefined	/subdir/hend
Wed Apr 13 2022 09:27:06 GMT+0300 (East Africa Time) 	dcd590b6-6a1c-4b3c-8d69-42a32a79fee7 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:30:25 GMT+0300 (East Africa Time) 	e60eb264-7d96-43c8-bf3c-1639e63e951d 	GET	undefined	/subdir/hend
Wed Apr 13 2022 09:30:25 GMT+0300 (East Africa Time) 	21b6542c-3dac-4364-9c87-2c9ff44bb02f 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	883b62eb-7ce2-4383-a376-8338745c1e2f 	GET	undefined	/root
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	bc4e2dff-ab70-4358-9246-5dc83325a884 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	552025c2-bc2d-4080-8d15-54cb1d388401 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	164c2a0c-9317-4326-8923-c97b867e45e7 	GET	undefined	/subdir/root
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	58d6cc96-04fa-490b-a5c8-e13741f1de3f 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:55:18 GMT+0300 (East Africa Time) 	b657de37-70bc-4e26-a984-360b625040bc 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:57:13 GMT+0300 (East Africa Time) 	5c51267b-042f-4040-9417-8162ab8f8172 	GET	undefined	/subdir/root
Wed Apr 13 2022 09:57:13 GMT+0300 (East Africa Time) 	cd296a82-c512-43e2-8e29-ef791b48b1c9 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:57:13 GMT+0300 (East Africa Time) 	a51ba0a3-0307-4349-94f5-068b8852cb1f 	GET	undefined	/subdir/root.html
Wed Apr 13 2022 09:57:13 GMT+0300 (East Africa Time) 	e3bcbf5a-d81f-4382-ab6e-a424da59d915 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	cb1761ff-f2c3-43cc-ae5f-77a40aa3e1a6 	GET	undefined	/subdir/root.html
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	c0eeed24-a57b-4130-b76e-17807e276162 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	4d3c944a-0d83-405f-8454-83441f372b15 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	c029e098-dcf7-4d2e-953c-d72f691f1876 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	b5df09ef-3949-4de3-ac9c-97511961ff6d 	GET	undefined	/root
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	d1586013-95db-4b62-ac38-178c3401b432 	GET	undefined	/css/style.css
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	92ba28cb-7c5d-4d31-a033-746b2675293d 	GET	undefined	/favicon.ico
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	02f2f0f4-b7e2-4652-baa3-b2326b9baacc 	GET	undefined	/route
Wed Apr 13 2022 09:58:58 GMT+0300 (East Africa Time) 	17e423a0-33aa-4b9c-be54-6e258c202dc4 	GET	undefined	/css/style.css
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	449bf6df-ba78-4b4a-8bdd-2017ad77193e 	GET	undefined	/routes
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	de1d4371-9637-4d87-8227-9ff63e25024a 	GET	undefined	/css/style.css
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	1dad75a0-fa11-4ee1-8314-dfb2ebffc38a 	GET	undefined	/favicon.ico
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	a141c6ba-53d3-4ce8-b9bc-859be5518309 	GET	undefined	/
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	5e1056ad-16e1-494a-b0c0-1b32c5ac6899 	GET	undefined	/css/style.css
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	f1364c75-6f5c-454b-9bf6-ef2b5d0c0a55 	GET	undefined	/new-page
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	a9a688ab-c933-4c9e-801a-7ff4382b0081 	GET	undefined	/img/bonesProfile.jpg
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	804ebb95-3e79-47e1-a864-cbb37271e131 	GET	undefined	/css/style.css
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	65bf4f95-9e42-4cd0-b939-31f19c50cf3e 	GET	undefined	/favicon.ico
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	5d35d07f-e24a-4fa5-b210-1a76c9f6f91d 	GET	undefined	/index
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	bda1bd97-9853-475f-a521-18fa7d2af627 	GET	undefined	/css/style.css
Wed Apr 13 2022 10:02:04 GMT+0300 (East Africa Time) 	2513a4b2-0776-43d0-a589-a5cf2dd18fb5 	GET	undefined	/favicon.ico
Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	51564920-cdd9-41e8-b9d5-e8edfaad65ad 	GET	undefined	/players
Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	f3fbd745-5f2c-4fa2-8477-537a28d67200 	POST	undefined	/players
Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	f5202e05-9a3e-40b7-8a7c-741ead411c00 	POST	undefined	/players
Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	e318bb60-08c5-4ddb-bdbb-b95d5c792459 	POST	undefined	/players
